#50th percentile and +/- 1-sigma values for stellar parameters: metallicity z, log10age(yr) tau, masses M1 and M2 in solar mass, radii R1 and R2 in solar radius, flux ratio f2/f1 frat in kepler bandpass
#KIC z z+sigma z-sigma tau(log10yr) tau+sigma tau-sigma m1(msun) m1+sigma m1-sigma m2(msun) m2+sigma m2-sigma r1(rsun) r1+sigma r1-sigma r2(rsun) r2+sigma r2-sigma frat frat+sigma frat-sigma            
8177798 0.0297247456 0.0105157725 -0.0076161216 8.9572051435 0.0701349101 -0.0907821117 1.8017567338 0.0418239532 -0.0519055688 1.4736508054 0.0580261868 -0.0532825695 2.1234016288 0.0253544585 -0.0312125596 1.5650660124 0.0727102797 -0.065802787 0.3888012102 0.0673291124 -0.0548977787            
8210721 0.0258723876 0.0025515087 -0.0016977989 9.6960679534 0.228606274 -0.0208333294 1.2468115242 0.0155178684 -0.1576388976 0.4889026293 0.0209244074 -0.0639895961 1.9631380519 0.0841330314 -0.2677885804 0.4830976614 0.0214708973 -0.0587678582 0.0030893812 0.0006290699 -0.0009307901            
8229048 0.0015605089 0.0003002827 -0.0003630896 9.6416096948 0.0299844756 -0.0166149219 1.0610247525 0.0134755426 -0.0196980574 0.7350929161 0.0146744883 -0.0227332744 1.6404829691 0.0130247604 -0.0344505001 0.6775224927 0.013910009 -0.0218545098 0.0770252546 0.0044833644 -0.0069422276            
8264097 0.0017037584 0.0013118471 -0.0005893149 7.1960493149 0.0660527344 -0.0172850898 0.7520984924 0.0221305219 -0.0260029546 0.1536965862 0.0138691924 -0.0072050994 0.8377177073 0.0105042522 -0.011139357 0.4072601474 0.007275583 -0.007170031 0.0222292278 0.0002387524 -0.0002351935            
8285254 0.0089511364 0.001403747 -0.00085078 6.7874276432 0.0241008418 -0.0365606923 1.6508923956 0.0335415254 -0.0235461603 0.9762949441 0.0326292156 -0.0399066755 2.3927969932 0.0155973925 -0.015311473 1.2657451759 0.0112582517 -0.0107392005 0.0644892525 0.0009186906 -0.000611727            
8301013 0.0407770406 0.0118945469 -0.0081879372 9.3614453783 0.0283726467 -0.0339636563 1.3012713516 0.0102738596 -0.008548769 1.1830995862 0.0098677821 -0.008250554 1.452429633 0.0018362897 -0.002499141 1.207696173 0.0068538039 -0.0058478209 0.6076920334 0.0041551145 -0.0037200106            
8302455 0.0090643021 0.0011608226 -0.0011883684 9.7443661996 0.1721066602 -0.0769159338 0.977133018 0.0299368573 -0.0681895029 0.9856261846 0.0298097319 -0.0711006875 1.0719236117 0.0174024662 -0.0298002439 1.0971660631 0.0150549103 -0.0303715049 1.0678954407 0.0412878942 -0.0491424273            
8345358 0.0186910121 0.0092876659 -0.0082136398 9.2493265734 0.2503174739 -0.3423027993 1.3308413131 0.1243454051 -0.1008256024 0.8398904026 0.0641466159 -0.0513224792 1.475549997 0.0320182829 -0.0262838284 0.7560278193 0.0473811563 -0.0394007786 0.0872282191 0.00857198 -0.0137157496            
8356054 0.0060464608 0.0016718548 -0.0010486654 9.7441796856 0.194185171 -0.3271674759 0.7943823943 0.0434635252 -0.0404623994 0.7239941161 0.0312653168 -0.0295119223 0.7568738276 0.0119992304 -0.0134758228 0.6798708057 0.0110358846 -0.0084204454 0.5772049194 0.0188619984 -0.0188440684            
8378922 0.058032324 0.0015674391 -0.0026111866 7.9380117991 0.2302167458 -0.3233696986 1.9521222375 0.0882908202 -0.0933410454 1.9367536267 0.086515777 -0.0923012949 1.8687269415 0.0277987032 -0.0296788177 1.8603060286 0.0275685451 -0.0302466082 0.9696929585 0.0008479575 -0.0009348721            
8411947 0.0013321541 0.0003270247 -0.0002337308 6.9218940364 0.0218158703 -0.0183113894 0.8271745385 0.0088402132 -0.0090376387 0.7183815419 0.008878212 -0.0089465843 0.9977367307 0.0059661474 -0.0057181781 0.9334126275 0.0023633214 -0.0025104044 0.5446820436 0.0048850645 -0.0047605958            
8414159 0.0069463805 +8.2823502718e-05 -9.09717752e-05 9.8042697403 0.131690481 -0.1400374843 0.9364174486 0.0467767441 -0.0485000079 0.5812773639 0.0133758808 -0.0150788918 1.0584071149 0.0137365088 -0.0150575251 0.5710891766 0.0074830044 -0.0081867378 0.046875839 +5.226117835e-05 -5.370779955e-05            
8415863 0.0376799916 0.0132755803 -0.007181731 8.7581721106 0.2240476358 -0.2786000145 1.1242934937 0.0129569551 -0.0153711962 0.5419628065 0.020581724 -0.0306865237 1.0338753649 0.0059339139 -0.0085950449 0.5300381901 0.0185254158 -0.0306936224 0.0122419428 0.0021723225 -0.0027147859            
8445775 0.0057070358 0.0004756984 -0.000521649 8.4604129078 0.5117035134 -0.7288099169 0.9212473172 0.0152056806 -0.0180832055 0.9276673869 0.0144974365 -0.0190265804 0.8204021757 0.0070638022 -0.0075031793 0.8267190024 0.006737641 -0.0075778054 1.0312501999 0.0288402454 -0.0300221362            
8488876 0.012696293 0.0008009587 -0.0005953196 9.2731981357 0.0195186139 -0.0143858413 1.4517818904 0.0095618256 -0.0119750707 0.3653080835 0.0018542648 -0.0024940344 1.8720871596 0.0056531881 -0.0077998522 0.3578250691 0.0010308477 -0.0013292278 0.0007598291 +9.93152340808e-06 -1.13120983153e-05            
8491745 0.0150725437 +9.7406954124e-05 -6.39640444e-05 9.539841766 0.0003775033 -0.0005243535 1.3605585373 0.0003941867 -0.0005245472 0.6514656352 0.0011360334 -0.0010297551 2.7702492311 0.0019374474 -0.0018514163 0.6292863591 0.0007677144 -0.0006943283 0.014476635 +1.00015657e-05 -9.9500712e-06            
8504570 0.0225114791 0.0034291871 -0.0022550318 7.059000017 0.0122838685 -0.0150225166 1.8282354969 0.0314872645 -0.0253554225 1.5469271464 0.0182302144 -0.0116123641 1.8105498532 0.0322920939 -0.0202084271 2.0350847507 0.0250742225 -0.0334758665 0.6740749768 0.0774979032 -0.0780079064            
8509346 0.0015008826 0.0003262815 -0.0003315338 6.7972696959 0.0449445106 -0.0313381817 1.2756684944 0.0513392279 -0.0404361943 0.350837109 0.0260214771 -0.0372892139 1.6894239192 0.0332732846 -0.0263034178 0.8009736235 0.0306162973 -0.0390694327 0.01139792 0.0012850199 -0.0008687931            
8543278 0.0110878475 0.0019856173 -0.0014484005 9.3221310185 0.3122727631 -0.5255632466 0.8611013613 0.0292778652 -0.0342684283 0.7304976893 0.0140139515 -0.0195281228 0.7816552557 0.0094737476 -0.010601687 0.6690805841 0.0070399479 -0.0071718821 0.3928591643 0.0293841132 -0.0247246268            
8560285 0.0095788001 0.0007207486 -0.0006625981 9.9631454971 0.0327420484 -0.0198891331 0.9625777738 0.0123728514 -0.0203271926 0.3379156509 0.0075702892 -0.0112912558 1.3819264546 0.0169971372 -0.0308847883 0.3370505849 0.0073105812 -0.0097982424 0.0024316441 +4.46549860986e-05 -4.24192220191e-05            
8569819 0.0153712004 0.0014592135 -0.0013578679 9.0921394994 0.0231125937 -0.0158616056 1.5282015583 0.0119002612 -0.0149837643 1.0476851305 0.006694693 -0.0078916673 1.7334494107 0.0053640592 -0.0043466982 0.9701477523 0.0050773012 -0.0043070731 0.1487707291 0.0004143128 -0.0004295745            
8574270 0.0129560271 0.006229465 -0.0030185771 7.4058122922 0.0636492313 -0.0488486794 0.9649631376 0.0507056051 -0.0261670802 0.5592385037 0.1021430292 -0.0751358105 0.9971879481 0.0258088381 -0.0182021463 0.7603368213 0.0523148298 -0.0434300309 0.0384637368 0.0068784957 -0.0042065416            
8580438 0.0135596177 0.0005557574 -0.0009296644 9.9602240302 0.0213756327 -0.0502486448 0.9819689123 0.0170406956 -0.0090209799 0.42714736 0.003075283 -0.0027563195 1.3161293439 0.0057260742 -0.0051751326 0.4208258682 0.0022918093 -0.0024488337 0.0048338741 +2.43714092916e-05 -2.41072884664e-05            
8581658 0.0277540813 0.0028474683 -0.0045029007 7.5926645346 0.0057092739 -0.0092491622 1.5084748967 0.0144949024 -0.0071208654 0.9073946066 0.0014945072 -0.0019380757 1.461905706 0.0023534474 -0.001714672 0.8722297031 0.0014687112 -0.0010603508 0.1019857245 +4.3098588e-05 -4.279236868e-05            
8605074 0.0056448605 0.00076383 -0.0008576292 9.9858312968 0.0377782893 -0.0675901704 0.9044061091 0.0274773268 -0.0207631383 0.3134517063 0.009915737 -0.0109675466 1.3729335589 0.022246786 -0.0340879003 0.3123918515 0.0063612861 -0.0086623677 0.0028254099 +3.18424685184e-05 -3.289465608e-05            
8610483 0.0081385041 0.0003677344 -0.0001311997 9.61154025 0.0114170398 -0.0074890991 1.1477699281 0.0016523012 -0.0050950409 1.1242699054 0.0043823158 -0.006064624 1.5542348754 0.0103945649 -0.0085849381 1.4405884443 0.0093897921 -0.0115582834 0.8492980075 0.021742551 -0.0255971146            
8618226 0.0252770277 0.0020432149 -0.0017272793 9.8702202029 0.0336479804 -0.0213678741 1.0775244144 0.0136863233 -0.0204353841 0.6986793059 0.0056452785 -0.0078073785 1.3765255486 0.0051083248 -0.0075724246 0.6773814539 0.0025746779 -0.0039220257 0.0478409024 0.000102391 -0.0001061577            
8668810 0.0026512467 0.0002052126 -0.0001967874 7.4621654003 0.0128210705 -0.011595588 0.677131341 0.0015988942 -0.0016387357 0.3054358831 0.00576083 -0.0050043775 0.7238443672 0.0018226414 -0.0019718555 0.4743112041 0.0025306264 -0.002399964 0.0700664655 0.000333194 -0.0003301411            
8690001 0.0011152819 +7.751602857e-05 -5.518091527e-05 10.071191789 0.0053970703 -0.0057678583 0.7876573012 0.002168424 -0.0010103659 0.8062655948 0.0024201283 -0.0012372304 1.1573116559 0.0013704646 -0.0012164454 1.5616356482 0.001742336 -0.0014411343 1.5919585388 0.0005534483 -0.0005499166            
8879427 0.012388933 0.002703242 -0.0023708529 9.9478313623 0.0823393912 -0.110674898 0.9667243944 0.0419994096 -0.0463668721 0.3554635346 0.0119312586 -0.0266409015 1.2362995005 0.0279274669 -0.0716785383 0.3546646452 0.0092801047 -0.0219556735 0.0030891777 0.0007013575 -0.0007494611            
8892720 0.0143774712 0.0002981367 -0.0004528746 9.8500133918 0.0461579806 -0.0729925462 1.083009168 0.044153864 -0.0305731467 0.4294147353 0.0159355841 -0.0102234913 1.758267894 0.0666856949 -0.038884286 0.4219117058 0.015211408 -0.0094137041 0.0027262336 +5.391831641e-05 -4.492487427e-05            
8957954 0.0101690232 0.0036946732 -0.0038666786 9.5949326583 0.0456376363 -0.0740038719 1.0621283255 0.0300483722 -0.0379551972 1.0462285202 0.0297911314 -0.0373300645 1.1646990011 0.0095117878 -0.0129075319 1.1248434802 0.0122548275 -0.0142825329 0.9085624861 0.0083133119 -0.0042016343            
9048145 0.0020763189 0.0002087337 -0.0001061811 8.7671056136 0.0604492099 -0.0580025983 2.0682015099 0.098754959 -0.0978942157 0.4979785581 0.0091712821 -0.0082669424 2.0218161173 0.0307333894 -0.0293625868 0.4616706712 0.0072024821 -0.006990218 0.0014037269 +2.31451619908e-05 -3.45314871151e-05            
9098810 0.0265166626 0.0163291679 -0.0079869717 8.7797354615 0.4185960168 -0.641036925 0.9397837826 0.0164238081 -0.0223963279 0.9409353955 0.0167214016 -0.0225467135 0.8310902035 0.0053492735 -0.0070008116 0.8319974017 0.0060814664 -0.007124391 1.0054661223 0.0081781467 -0.004311812            
9110346 0.0018266814 0.0008843106 -0.0006091513 9.8727299459 0.0816516608 -0.0961662277 0.8130420277 0.0289544302 -0.0246607803 0.7535474855 0.0253342423 -0.0189872404 0.8805494391 0.0068436303 -0.01139296 0.7463885125 0.0145645056 -0.0077298343 0.6027260243 0.0182915728 -0.0082209636            
9412462 0.0176928189 +5.843730109e-05 -5.9934225682e-05 9.5184684715 0.0005094993 -0.000496362 1.2990652188 0.0005224537 -0.0009117794 1.3860310649 +2.07451666001e-05 -4.62752250001e-05 1.7069273846 0.0020206983 -0.0033644731 2.388760178 0.0005775415 -0.0004370178 1.3795323459 0.0047385592 -0.0027759904            
9474222 0.0094921436 0.000168979 -0.0001717085 9.3557007354 0.0183637644 -0.0180837247 1.2019381133 0.0062667464 -0.0061363565 0.410920211 0.0013225189 -0.001288755 1.3498050161 0.0033146298 -0.0030808271 0.3958668038 0.0011831454 -0.0011108443 0.0029942232 +8.35032402038e-06 -8.30993966951e-06            
9665503 0.0068529404 0.0003813323 -0.0002295214 10.041629483 0.0307272107 -0.0785078094 0.8106726575 0.0289678684 -0.0123313086 0.6408607108 0.0145603803 -0.0063638508 0.8969368006 0.0089112633 -0.0038781825 0.6344239137 0.0062386318 -0.0026685473 0.1865794185 0.0001619676 -0.0001608261            
9714123 0.0075060319 0.0004555907 -0.000441825 9.8559737798 0.0760929472 -0.111697818 0.8508289362 0.0265244078 -0.0199448729 0.2500372569 0.0097039723 -0.0062395699 0.8642588506 0.0193604984 -0.0106283815 0.2606342248 0.0083176062 -0.0042779028 0.0038425337 +3.82096691318e-05 -3.8881453635e-05            
9714358 0.0029449084 0.0008525454 -0.0005493546 7.4368391458 0.0456596775 -0.0398788766 0.7018385883 0.0072371083 -0.0107467339 0.1643901719 0.0362203493 -0.0237155037 0.7509114459 0.0112727533 -0.0143780493 0.3656365771 0.0303029389 -0.0244550745 0.020218814 0.0036136917 -0.0022563411            
9775253 0.0106347133 0.002059961 -0.0020321883 9.7257006195 0.2605398634 -0.5169276869 0.5498789037 0.0162640234 -0.0110925565 0.4495219879 0.019232154 -0.0121949632 0.5438483196 0.0092433447 -0.0073229773 0.4386053323 0.0153343024 -0.0110085032 0.3658638841 0.0211172194 -0.0095955445            
9777090 0.0087429142 0.0042955181 -0.0033823276 7.6049985755 0.0578966048 -0.0798472845 0.6382802377 0.011956273 -0.0108516181 0.3651132122 0.0322236598 -0.02849369 0.7200666732 0.0089239949 -0.0087947888 0.5227693483 0.0177526584 -0.0152977315 0.165759341 0.0087036612 -0.006305164            
9786017 0.007622669 +5.59564394604e-05 -2.47795208417e-05 9.1648481141 0.000921018 -0.0004813466 1.7275515349 0.0003213467 -0.000384602 1.0177722765 0.0007504389 -0.0012117691 3.9238644979 0.0045935943 -0.0076903039 0.9678263801 0.001159979 -0.0019065733 0.0559570776 +1.82099081167e-05 -1.80140744249e-05            
9838060 0.0102395639 0.0015942589 -0.001160092 9.856252874 0.1663412576 -0.359868047 0.820237403 0.0458409697 -0.0336453959 0.3174567248 0.0231708807 -0.022943268 0.8018085395 0.010949053 -0.0120958863 0.318333926 0.0208058149 -0.0197113177 0.0084617504 0.0016044436 -0.0012764749            
9839062 0.0046781918 0.0002447381 -0.0002508299 9.9915491838 0.0248735391 -0.0251347418 0.846020388 0.0108047316 -0.0109206086 0.3059397566 0.0044707045 -0.0046667876 1.0278793401 0.0105044357 -0.0105637166 0.3049277888 0.0034654244 -0.0035112479 0.0050635692 +9.48132554442e-05 -9.38470818147e-05            
9873869 0.0599254854 +5.6337277152e-05 -0.00013311 8.0582278834 0.0057124057 -0.0061531052 1.2988812358 0.0004581448 -0.0004342809 0.6800588055 0.0004142337 -0.0006289081 1.2628930953 0.0006011268 -0.0005829217 0.6301707913 0.0001574882 -0.0001233945 0.0271476862 +2.43024552996e-05 -2.43080116731e-05            
9881258 0.0113396997 0.0014658107 -0.0010897444 9.6967538921 0.0277330618 -0.0259989737 1.1403888365 0.0144764502 -0.0186055672 1.0210341811 0.0406307641 -0.019914028 1.645910949 0.0237304998 -0.0660361599 1.1271444929 0.1144524865 -0.0493860091 0.4332716289 0.1631009849 -0.0580222626            
9944421 0.0050324262 0.0016842284 -0.0016092799 7.2326268348 0.0582849116 -0.0636601532 0.8914566781 0.025793764 -0.0289271911 0.8571158929 0.0262706777 -0.0301027918 0.9718452868 0.0101944904 -0.0120859916 0.9372550739 0.0100314325 -0.0105533493 0.7663660335 0.0235436539 -0.019113541            
9965206 0.0138469548 0.0047685982 -0.0018729595 9.5452656844 0.2108005662 -0.3418784446 0.8663473331 0.0365534863 -0.0329902571 0.8685990014 0.0365351036 -0.0330993548 0.8012877238 0.0110415192 -0.0102576069 0.8037600025 0.010835041 -0.0104683928 1.0160901277 0.0096216509 -0.0131704625            
10001167 0.0464597491 0.0006005664 -0.00035902 8.8206139684 0.002228018 -0.0020144836 1.3026275965 0.0185367918 -0.0165100894 2.5350379016 0.0006654403 -0.0004320259 1.286920246 0.0265481628 -0.0234848653 16.995642396 0.2337531452 -0.2121179179 54.2994211628 0.059105377 -0.0604608757            
10015516 0.0091493853 +4.70964885404e-05 -4.11375954288e-05 8.6010989966 0.0008135847 -0.0007489933 2.1544466001 0.0042132189 -0.0036944061 2.8341936311 0.0011148315 -0.0013622266 1.9148541084 0.0048878191 -0.0037325455 11.3872377453 0.0200823953 -0.0173166824 8.1545604827 0.0008616312 -0.0008638026            
10020423 0.0097599753 0.0002491782 -0.0002587189 9.8165707705 0.0304985507 -0.0347113284 0.8936308524 0.0085789862 -0.0079838 0.3340969261 0.0027506326 -0.0026450155 0.9119557214 0.0036986909 -0.0037992973 0.3321658887 0.0021151584 -0.0019595781 0.0059303174 +3.702043138e-05 -3.686994594e-05            
10026136 0.0058670951 0.0011368943 -0.0010589408 9.2841722564 0.0260616145 -0.0214139473 1.4655309056 0.0277948695 -0.0326587595 1.4358376121 0.0240064433 -0.0303805453 2.1914987956 0.0208469663 -0.019441167 1.9804391237 0.0143421202 -0.0156203232 0.8799852753 0.0155712154 -0.0271960676            
10026457 0.0230855917 0.0021106039 -0.0022051042 6.6893205239 0.0113323452 -0.0075891852 2.6470141796 0.0440822127 -0.053744521 1.9701572144 0.0268370135 -0.0262183327 2.0749379462 0.03143358 -0.0273902531 2.5820506804 0.0637432063 -0.0681359663 0.2147117744 0.0102937913 -0.011394979            
10063044 0.0020028731 +2.021010651e-05 -0.0005231426 9.4999000579 0.0002006662 -0.0063957748 1.1958328112 0.0002544236 -0.0049963112 1.1394921317 0.0003481351 -0.0136475849 2.1626325202 0.1133621828 -0.0023935693 1.467869492 0.0019302103 -0.0967104124 0.5374646777 0.0176882988 -0.0338792701            
10091257 0.0112554759 0.0010157505 -0.0009684811 9.7138285113 0.0456628154 -0.0502051368 1.0119783665 0.0246212321 -0.021925512 1.0258524004 0.0336597825 -0.0269020383 1.1230840077 0.0558090903 -0.0608803503 1.1612290474 0.051838855 -0.0548782061 1.0846839373 0.3310302698 -0.2315441459            
10095512 0.0103792401 0.0028443727 -0.0014010014 7.1576939794 0.0202349209 -0.0211955495 1.2621707336 0.0444513817 -0.0148571761 1.0342363474 0.0174730749 -0.0138888982 1.5297265071 0.0117512531 -0.0123250945 1.1193238657 0.0105716801 -0.0108970803 0.205545103 0.0128655536 -0.0228950256            
10129482 0.0011101354 0.000272563 -8.480771511e-05 8.9959942091 0.2499439739 -0.3310574618 0.9427007188 0.0243727328 -0.0311971879 0.5674104668 0.0083497118 -0.0108183735 0.8697949197 0.0133348238 -0.0107585889 0.5036045603 0.0071045305 -0.0049600635 0.0812911197 0.0032050983 -0.001441987            
10191056 0.0408833334 0.0030861381 -0.003648342 9.1208132847 0.0075907404 -0.0098769939 1.6427172443 0.0043379106 -0.0061884942 1.5454179865 0.0080723852 -0.0084806774 2.0642437744 0.0063706752 -0.0060806259 1.8147523036 0.0094568555 -0.0111149425 0.7411151678 0.0119855509 -0.0137848591            
10198109 0.0064160254 0.0012457549 -0.0020687308 9.5702018669 0.2809313633 -0.7069482135 1.0059602794 0.1477248902 -0.0786484196 0.3584996053 0.0303944627 -0.014407062 1.0784768055 0.0447602025 -0.0250145274 0.3471472645 0.0142827509 -0.0081470533 0.004731114 +1.60808578884e-05 -1.55449621724e-05            
10208759 0.0192989778 0.0022550812 -0.0010278565 9.1927074507 0.0159814699 -0.021706921 1.6000796808 0.0176230869 -0.008336863 1.7437101781 0.0173227761 -0.0072501923 2.1133599175 0.0072877155 -0.0036212574 2.8556905909 0.0099239107 -0.0042367577 1.5833952359 0.0003234745 -0.0003253201            
10257903 0.0074545523 0.0003277469 -0.0002775776 9.8512000508 0.0249346372 -0.0495762314 0.9830580512 0.0245140886 -0.0114967991 0.6807473152 0.0095035842 -0.0061117209 1.3187565061 0.0105557363 -0.0162994911 0.6543072439 0.0041422223 -0.0045138108 0.0811578839 0.0008333802 -0.0012875152            
10287248 0.0010216711 +2.8977992555e-05 -1.58377834058e-05 10.0687213927 0.0082196266 -0.0154540536 0.0073553115 +4.0355641085e-05 -4.1239861197e-05 0.7057914443 0.0046698577 -0.002650246 -4.605170186 0 -0 0.7492143889 0.0036927676 -0.0033768673 0.2090588608 0.0012681522 -0.0010982185            
10332789 0.0116256088 0.0003895187 -0.0006577016 9.9910193223 0.0109418191 -0.0387695484 0.9359840168 0.0130861849 -0.00548765 0.4002298564 0.002916766 -0.002565987 1.1889130473 0.0057611246 -0.0055301738 0.3942357261 0.0024516422 -0.002388397 0.0051763698 +3.0640198976e-05 -3.046007654e-05            
10345862 0.0129832636 0.0032865916 -0.002679161 9.4355335301 0.0666854648 -0.0523059232 1.3601826789 0.0140589447 -0.0145818061 0.8171944482 0.0042576935 -0.0049200896 1.9269571666 0.0054577789 -0.0057536655 0.7454453719 0.0021172227 -0.0022489372 0.0597379051 +3.0787787288e-05 -3.055991242e-05            
10346522 0.0040000449 +1.056239e-07 -4.68066144992e-08 6.0000017709 +3.07507000041e-06 -1.33420000026e-06 3.145758103 0.0002840184 -0.0009354462 2.761477485 0.0001100037 -0.0002554767 4.7087161326 0.0053703044 -0.0016270979 5.7425858266 0.0005404752 -0.0012545227 0.387803005 0.0002447926 -0.0002327927            
10363300 0.0102641888 0.0031649787 -0.0013951623 9.3016796331 0.1647034829 -0.1884974143 1.3412626207 0.1289868224 -0.0700538166 1.1090625697 0.0848443176 -0.0482813096 1.6424630487 0.0106264612 -0.0197314643 1.1330865963 0.0870532007 -0.0504721329 0.3585851842 0.0071325264 -0.0053382602            
10462826 0.0325832752 0.0056582185 -0.0053240441 8.102155881 0.4209893066 -0.1608920762 1.399417209 0.010011354 -0.0159810357 0.7177975323 0.004818311 -0.0128366221 1.3593861389 0.0082321659 -0.0090435369 0.6549147421 0.0115970346 -0.0037288935 0.0292856134 0.0007718772 -0.0003932329            
10480952 0.0147105341 0.0013876308 -0.0017099794 8.152605384 0.1283919896 -0.1380351909 1.8831299933 0.1370329954 -0.0771295769 1.8594002483 0.1315875377 -0.0728406265 1.5614627331 0.0385834676 -0.0224728821 1.5502884457 0.0349323317 -0.0200250932 0.9614105729 0.0041900637 -0.0039021278            
10487119 0.0025752182 0.001675116 -0.0010740765 8.872140136 0.0863033533 -0.1351695632 1.7324531029 0.0751646864 -0.0832348697 1.471619951 0.080561659 -0.068779864 1.527677723 0.0362775537 -0.0430037212 1.2542316588 0.0631995743 -0.0713688297 0.5339691583 0.1102721744 -0.088588845            
10489521 0.0321753579 0.0143833572 -0.011974113 9.2467594353 0.1136120538 -0.097390825 1.2789120463 0.0164362504 -0.0308365407 1.0436678164 0.0096127401 -0.0198341548 1.3454333977 0.0034408196 -0.0048081192 0.9674817746 0.0053284983 -0.0110644953 0.3366072044 0.0003952467 -0.0003953174            
10491031 0.0075035769 0.000312232 -0.0002472255 7.0583597012 0.0211005547 -0.0290772238 1.2965898004 0.0121762819 -0.0177545519 1.2853612264 0.012827227 -0.018296617 1.6156419622 0.005781869 -0.0056981655 1.5978598579 0.0105316425 -0.0127512451 0.9366030062 0.0154205358 -0.0151057315            
10518735 0.0206516114 0.0084154302 -0.0067981021 9.5516628236 0.3093259039 -0.3902447361 0.8924403843 0.0402871188 -0.0592711575 0.8579004194 0.0376410526 -0.0546553174 0.8235550531 0.0126129819 -0.0168759281 0.7873090549 0.0130992999 -0.0186638428 0.7896470971 0.0275250998 -0.0130969623            
10547685 0.0017446475 0.0004263442 -0.0004365423 9.1416987582 0.0949531459 -0.1517697899 1.3640535582 0.1574789401 -0.0853461541 1.194139729 0.0863880707 -0.0612567485 1.3001810436 0.0606169237 -0.0301625796 1.1438423264 0.0279215523 -0.0255777 0.5165190476 0.0604120489 -0.0647471675            
10549576 0.0017320886 +9.13547405844e-05 -0.0001144056 9.2637256941 0.0014084778 -0.001020597 1.4270675917 0.0004033213 -0.0004428812 0.7401671062 0.0012952505 -0.0010883696 2.031731513 0.003723073 -0.002154193 0.6557985424 0.0009515019 -0.0008029389 0.0273692716 0.0001936355 -0.0001659435            
10583181 0.0014260225 0.0004489004 -0.0003172335 8.6612667843 0.1011894368 -0.1461718864 2.287503426 0.2963317435 -0.1824022083 1.2442360874 0.0820195835 -0.0522314235 2.1803109336 0.0754208689 -0.0488946909 1.0595606892 0.0362674343 -0.0245381968 0.0959837245 0.0001113596 -0.0001113128            
10592163 0.0139014746 0.0004054728 -0.00118233 7.4488317026 0.0193323451 -0.021082457 1.7486084077 0.2175758127 -0.1204663441 0.8936888839 0.0297386056 -0.0223249378 1.4572092992 0.0445788781 -0.0270159488 0.9085059548 0.0272887795 -0.0205973411 0.0532394388 0.0007445135 -0.0007013714            
10616829 0.0312278834 0.0086797593 -0.0082069037 9.001137721 0.0398084229 -0.0362796474 1.9626397848 0.0410448766 -0.0476607183 1.0699246119 0.0071892369 -0.0096826074 2.7889918718 0.002892874 -0.0050769211 0.9777253055 0.0056577342 -0.0082039726 0.0478399954 0.002814862 -0.0025836111            
10619109 0.0023294198 0.0003012291 -0.0002416753 6.2466137604 0.0131254563 -0.0138606659 2.4783428567 0.0437726183 -0.0530761556 1.8680585786 0.0158001059 -0.0175517425 2.6191687311 0.0164189507 -0.0197469017 3.0380000277 0.0175963985 -0.0179795879 0.209323582 0.0130961957 -0.0117824537            
10677186 0.0030427869 0.0001423289 -0.0002267698 10.0453869779 0.0216477612 -0.0368537051 0.8458843997 0.0195085854 -0.010823552 0.3642611435 0.0049345206 -0.0047049375 1.6695114133 0.0197401421 -0.0194446085 0.3492617912 0.0040912549 -0.0040357125 0.0042923581 +3.6370604673e-05 -3.56668898214e-05            
10711551 0.0088996283 0.0024478064 -0.0024586854 9.101408881 0.2235018469 -0.1703431143 1.1972267645 0.0373383374 -0.0501891512 1.0190153296 0.0303461344 -0.0542933881 1.2275270991 0.0109188538 -0.0111041041 0.9580542313 0.0265442232 -0.0496876701 0.4290319759 0.0302723883 -0.037984762            
10711913 0.0059858704 0.0007959473 -0.0010929915 10.0440425823 0.0039501411 -0.0045781227 0.8787062308 0.0041121989 -0.0043235699 0.7684361841 0.03697897 -0.0139425057 1.5179717789 0.021391917 -0.0723248836 0.8069775229 0.0887694882 -0.0258110718 0.2554602034 0.1280769038 -0.0315755584            
10743600 0.0078656977 0.0184253605 -0.0016977893 9.1645027723 0.1475960158 -0.2480513205 1.3528927065 0.0818810124 -0.110422996 0.7004138743 0.0520333717 -0.0332926624 1.4553997351 0.0274980946 -0.0345764225 0.6398753231 0.0319162575 -0.0163230854 0.033440656 0.0011125252 -0.0003582319            
10751515 0.0598093271 0.0001426693 -0.0003127356 9.5845665959 0.0004933176 -0.0002940504 1.3880177914 0.000240981 -0.0005209463 0.9891912811 0.0006210173 -0.0004045379 2.2800154248 0.0045311139 -0.0029302295 0.9597007373 0.000744742 -0.0005535487 0.1687931813 0.0002310123 -0.0002244839            
10753734 0.0101910183 0.0008073142 -0.0007566855 9.7442291456 0.0417223513 -0.0667752069 0.9737317003 0.0202482624 -0.0163034217 0.8961135709 0.0155873556 -0.0130686404 1.0464759996 0.0062736938 -0.0048122565 0.8858434885 0.0062563545 -0.0052867902 0.5857279977 0.0033109223 -0.0026823451            
10794242 0.0330397656 0.0090926788 -0.0029413708 7.9186986708 0.025690081 -0.0644119049 1.6419787404 0.0858273072 -0.0480383612 0.7091294722 0.0209045087 -0.0070199021 1.5927893816 0.0242855177 -0.0129568063 0.6724527649 0.0099785951 -0.0057025831 0.0160901881 +3.7136739232e-05 -3.71596027e-05            
